SENTENCE	TOKEN	TAG
60	and	O
60	for	O
60	the	O
60	center	O
60	speaker	O
60	,	O
60	when	O
60	I	O
60	mount	O
60	it	O
60	on	O
60	the	O
60	wall	O
60	its	O
60	so	O
60	top	O
60	heavy	B-aspect
60	that	O
60	it	O
60	falls	O
60	forward	O
60	,	O
60	leaning	O
60	out	O
60	about	O
60	and	O
60	inch	O
60	from	O
60	the	O
60	wall	O
60	.	O
61	I	O
61	'm	O
61	trying	O
61	to	O
61	find	O
61	some	O
61	bigger	O
61	screws	O
61	to	O
61	get	O
61	it	O
61	flush	O
61	,	O
61	but	O
61	the	O
61	screws	O
61	attach	O
61	at	O
61	the	O
61	bottom	O
61	so	O
61	there	O
61	's	O
61	no	O
61	support	O
61	for	O
61	the	O
61	top	O
61	of	O
61	the	O
61	speaker	O
61	which	O
61	hangs	O
61	.	O
62	Thats	O
62	pretty	O
62	much	O
62	it	O
62	,	O
62	the	O
62	speakers	B-aspect
62	rock	O
62	,	O
62	the	O
62	control	B-aspect
62	station	I-aspect
62	and	O
62	remote	B-aspect
62	are	O
62	nifty	O
62	,	O
62	and	O
62	the	O
62	sub	B-aspect
62	is	O
62	powerful	O
62	.	O
63	Great	O
63	speakers	B-aspect
63	overall	O
63	.	O
64	I	O
64	'm	O
64	a	O
64	college	O
64	kid	O
64	,	O
64	recreational	O
64	audiophile	O
64	and	O
64	bass	O
64	fanatic	O
64	,	O
64	studying	O
64	engineering	O
64	.	O
65	I	O
65	started	O
65	off	O
65	building	O
65	a	O
65	custom	O
65	sub	O
65	encloser	O
65	with	O
65	dual	O
65	Kicker	O
65	CompVR	O
65	12	O
65	''	O
65	subs	O
65	driven	O
65	by	O
65	a	O
65	1200W	O
65	Sony	O
65	amp	O
65	.	O
66	I	O
66	have	O
66	n't	O
66	stopped	O
66	searching	O
66	for	O
66	great	O
66	sound	O
66	since	O
66	.	O
67	I	O
67	'm	O
67	running	O
67	a	O
67	pair	O
67	of	O
67	these	O
67	off	O
67	an	O
67	H\/K	O
67	AVR240	O
67	,	O
67	combined	O
67	with	O
67	a	O
67	JBL	O
67	EC35	O
67	center	O
67	,	O
67	a	O
67	JBL	O
67	S120PII	O
67	400w	O
67	sub	O
67	,	O
67	and	O
67	two	O
67	sets	O
67	of	O
67	E30	O
67	surrounds	O
67	.	O
68	I	O
68	'm	O
68	big	O
68	on	O
68	trying	O
68	anything	O
68	before	O
68	I	O
68	buy	O
68	it	O
68	.	O
69	I	O
69	was	O
69	able	O
69	to	O
69	listen	O
69	to	O
69	these	O
69	and	O
69	the	O
69	E80s	O
69	-LRB-	O
69	the	O
69	dual	O
69	6	O
69	''	O
69	floorstandings	O
69	-RRB-	O
69	at	O
69	a	O
69	local	O
69	audio	O
69	store	O
69	before	O
69	they	O
69	were	O
69	discontinued	O
69	.	O
70	I	O
70	loved	O
70	the	O
70	sound	B-aspect
70	of	O
70	these	O
70	and	O
70	the	O
70	Polk	O
70	and	O
70	Klipsich	O
70	floorstandings	O
70	of	O
70	similar	O
70	characteristics	O
70	.	O
71	With	O
71	the	O
71	JBLs	O
71	at	O
71	a	O
71	fraction	O
71	of	O
71	the	O
71	price	O
71	here	O
71	on	O
71	Amazon	O
71	,	O
71	it	O
71	was	O
71	no	O
71	question	O
71	.	O
72	The	O
72	only	O
72	issue	O
72	was	O
72	what	O
72	model	O
72	to	O
72	get	O
72	...	O
72	I	O
72	heard	O
72	very	O
72	little	O
72	difference	O
72	in	O
72	qualtiy	O
72	between	O
72	the	O
72	E60s	O
72	and	O
72	E80s	O
72	.	O
73	The	O
73	dual	O
73	6	O
73	''	O
73	put	O
73	out	O
73	a	O
73	bit	O
73	lower	O
73	frequencies	O
73	,	O
73	but	O
73	the	O
73	difference	O
73	was	O
73	so	O
73	small	O
73	that	O
73	I	O
73	would	O
73	n't	O
73	be	O
73	able	O
73	to	O
73	notice	O
73	without	O
73	the	O
73	speakers	O
73	side	O
73	by	O
73	side	O
73	.	O
74	Living	O
74	in	O
74	a	O
74	small	O
74	college	O
74	apartment	O
74	the	O
74	E90s	B-aspect
74	and	O
74	E100s	B-aspect
74	were	O
74	beautiful	O
74	,	O
74	but	O
74	a	O
74	bit	O
74	overkill	O
74	for	O
74	what	O
74	I	O
74	needed	O
74	.	O
75	I	O
75	deceided	O
75	on	O
75	these	O
75	over	O
75	the	O
75	E60s	O
75	with	O
75	the	O
75	hopes	O
75	that	O
75	a	O
75	single	O
75	8	O
75	''	O
75	would	O
75	draw	O
75	less	O
75	from	O
75	my	O
75	amp	O
75	than	O
75	the	O
75	dual	O
75	6	O
75	''	O
75	for	O
75	a	O
75	bit	O
75	less	O
75	money	O
75	.	O
76	Beautiful	O
76	home	B-aspect
76	theater	I-aspect
76	and	O
76	music	B-aspect
76	speaker	I-aspect
76	...	O
76	crisp	O
76	highs	B-aspect
76	,	O
76	defined	O
76	mids	B-aspect
76	,	O
76	and	O
76	respectable	O
76	bass	B-aspect
76	.	O
77	They	O
77	are	O
77	a	O
77	bit	O
77	top	O
77	heavy	B-aspect
77	,	O
77	as	O
77	any	O
77	tower	O
77	will	O
77	be	O
77	.	O
78	and	O
78	I	O
78	love	O
78	extremely	O
78	low	O
78	,	O
78	loud	O
78	bass	B-aspect
78	,	O
78	and	O
78	as	O
78	such	O
78	,	O
78	I	O
78	suplemented	O
78	the	O
78	system	O
78	with	O
78	a	O
78	sweet	O
78	JBL	B-aspect
78	sub	I-aspect
78	.	O
79	Movies	O
79	sound	O
79	great	O
79	:	O
79	Saving	O
79	Private	O
79	Ryan	O
79	,	O
79	Fifth	O
79	Element	O
79	,	O
79	40	O
79	year	O
79	old	O
79	virgin	O
79	,	O
79	Anchorman	O
79	,	O
79	etc.	O
79	.	O
80	Music	O
80	is	O
80	also	O
80	fantastic	O
80	-LRB-	O
80	with	O
80	different	O
80	amp	O
80	settings	O
80	tuned	O
80	for	O
80	genre	O
80	-RRB-	O
80	:	O
80	Ambient	O
80	,	O
80	electronica	O
80	,	O
80	hip-hop	O
80	,	O
80	rap	O
80	,	O
80	jazz	O
80	,	O
80	80s	O
80	,	O
80	classical	O
80	,	O
80	rock	O
80	.	O
81	Ulrich	O
81	Schnauss	O
81	,	O
81	Bonobo	O
81	,	O
81	DJ	O
81	Shadow	O
81	,	O
81	Busta	O
81	,	O
81	Snoop	O
81	,	O
81	E40	O
81	,	O
81	Louis	O
81	Armstrong	O
81	,	O
81	Michael	O
81	Jackson	O
81	,	O
81	Bach	O
81	,	O
81	Korn	O
81	,	O
81	Metallica	O
81	,	O
81	Hoobastank	O
81	,	O
81	311	O
81	.	O
82	If	O
82	you	O
82	're	O
82	looking	O
82	for	O
82	a	O
82	quality	B-aspect
82	tower	I-aspect
82	speaker	I-aspect
82	...	O
82	this	O
82	is	O
82	it	O
82	.	O
83	Bass	B-aspect
83	fanatics	O
83	,	O
83	look	O
83	at	O
83	the	O
83	S120PII	O
83	.	O
84	you	O
84	wo	O
84	n't	O
84	regret	O
84	it	O
84	.	O
85	These	O
85	a	O
85	great	O
85	speakers	B-aspect
85	-	O
85	full	O
85	of	O
85	sound	O
85	.	O
86	The	O
86	bass	B-aspect
86	is	O
86	solid	O
86	and	O
86	can	O
86	be	O
86	quite	O
86	impressive	O
86	if	O
86	turned	O
86	up	O
86	.	O
87	The	O
87	speakers	B-aspect
87	look	B-aspect
87	nice	O
87	and	O
87	are	O
87	easy	O
87	to	O
87	use	B-aspect
87	.	O
88	This	O
88	is	O
88	a	O
88	great	O
88	portable	B-aspect
88	speaker	B-aspect
88	system	I-aspect
88	,	O
88	but	O
88	wanted	O
88	to	O
88	let	O
88	people	O
88	know	O
88	that	O
88	if	O
88	your	O
88	ipod	O
88	is	O
88	in	O
88	an	O
88	iSkin	O
88	case	O
88	you	O
88	can	O
88	not	O
88	dock	O
88	the	O
88	ipod	O
88	without	O
88	first	O
88	removing	O
88	the	O
88	skin	O
88	.	O
89	I	O
89	spent	O
89	a	O
89	lot	O
89	of	O
89	time	O
89	looking	O
89	online	O
89	for	O
89	this	O
89	information	O
89	and	O
89	finally	O
89	took	O
89	my	O
89	ipod	O
89	and	O
89	iskin	O
89	to	O
89	a	O
89	store	O
89	to	O
89	test	O
89	it	O
89	out	O
89	and	O
89	learned	O
89	this	O
89	.	O
90	if	O
90	you	O
90	're	O
90	okay	O
90	with	O
90	removing	O
90	the	O
90	skin	O
90	each	O
90	time	O
90	you	O
90	want	O
90	to	O
90	use	O
90	the	O
90	speaker	O
90	system	O
90	,	O
90	then	O
90	by	O
90	all	O
90	means	O
90	purchase	O
90	these	O
90	speakers	B-aspect
90	as	O
90	they	O
90	are	O
90	great	O
90	!	O
91	Logitech	O
91	have	O
91	a	O
91	way	O
91	of	O
91	seeing	O
91	what	O
91	is	O
91	needed	O
91	in	O
91	any	O
91	given	O
91	area	O
91	and	O
91	bringing	O
91	it	O
91	to	O
91	fruition	O
91	.	O
92	Hence	O
92	the	O
92	Logitech	O
92	Portable	O
92	Speakers	O
92	are	O
92	the	O
92	most	O
92	obvious	O
92	product	O
92	for	O
92	personal	O
92	use	O
92	in	O
92	this	O
92	kind	O
92	of	O
92	area	O
92	.	O
93	I	O
93	have	O
93	a	O
93	2	O
93	dollar	O
93	radio	O
93	about	O
93	the	O
93	same	O
93	size	O
93	as	O
93	this	O
93	unit	O
93	,	O
93	and	O
93	whilst	O
93	it	O
93	is	O
93	not	O
93	as	O
93	sturdy	O
93	,	O
93	it	O
93	has	O
93	lasted	O
93	.	O
94	Most	O
94	products	O
94	will	O
94	last	O
94	if	O
94	taken	O
94	care	O
94	of	O
94	,	O
94	and	O
94	Logitech	B-aspect
94	's	I-aspect
94	products	I-aspect
94	are	O
94	no	O
94	exception	O
94	to	O
94	this	O
94	rule	O
94	,	O
94	however	O
94	,	O
94	since	O
94	they	O
94	are	O
94	somewhat	O
94	,	O
94	in	O
94	fact	O
94	a	O
94	great	O
94	deal	O
94	more	O
94	sturdy	O
94	,	O
94	than	O
94	my	O
94	old	O
94	radio	O
94	.	O
95	The	O
95	comparable	O
95	product	B-aspect
95	in	O
95	quality	B-aspect
95	is	O
95	the	O
95	old	O
95	style	O
95	Shelf	O
95	Speaker	O
95	popular	O
95	in	O
95	the	O
95	80	O
95	's	O
95	,	O
95	called	O
95	the	O
95	brick	O
95	,	O
95	but	O
95	this	O
95	unit	O
95	does	O
95	not	O
95	have	O
95	the	O
95	weight	B-aspect
95	of	O
95	that	O
95	product	B-aspect
95	.	O
96	The	O
96	speakers	B-aspect
96	perform	B-aspect
96	very	O
96	well	O
96	,	O
96	and	O
96	with	O
96	the	O
96	bass	O
96	boost	O
96	,	O
96	the	O
96	sound	B-aspect
96	fills	O
96	outs	O
96	exceedingly	O
96	well	O
96	.	O
97	For	O
97	a	O
97	small	O
97	,	O
97	portable	O
97	,	O
97	unit	B-aspect
97	,	O
97	this	O
97	allows	O
97	you	O
97	to	O
97	listen	O
97	to	O
97	,	O
97	as	O
97	well	O
97	as	O
97	share	O
97	Ipod	O
97	music	O
97	,	O
97	and	O
97	podcasts	O
97	,	O
97	in	O
97	an	O
97	intimate	O
97	setting	O
97	.	O
98	An	O
98	excellent	O
98	product	B-aspect
98	with	O
98	excellent	O
98	and	O
98	typically	O
98	superb	O
98	Logitech	B-aspect
98	production	I-aspect
98	values	I-aspect
98	.	O
99	I	O
99	have	O
99	owned	O
99	my	O
99	5500s	O
99	for	O
99	a	O
99	couple	O
99	of	O
99	years	O
99	now	O
99	and	O
99	still	O
99	love	O
99	them	O
99	,	O
99	at	O
99	least	O
99	in	O
99	general	O
99	.	O
100	For	O
100	the	O
100	price	B-aspect
100	there	O
100	's	O
100	nothing	O
100	better	O
100	.	O
101	I	O
101	especially	O
101	love	O
101	the	O
101	`	O
101	remote	O
101	'	O
101	controller	B-aspect
101	stand	O
101	with	O
101	it	O
101	's	O
101	big	O
101	volume	B-aspect
101	knob	I-aspect
101	and	O
101	simple	O
101	selector	B-aspect
101	buttons	I-aspect
101	.	O
102	I	O
102	've	O
102	tried	O
102	to	O
102	find	O
102	a	O
102	full-size	O
102	receiver	O
102	with	O
102	something	O
102	comparable	O
102	but	O
102	there	O
